time,open,high,low,close,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,MA
1707748200,103.915,104.235,103.4,103.785,,,,,,,0,0,0,0,0,0,91.08712500000009
1707762600,103.765,103.77,102.98,103.13,,,,,,,0,0,0,0,0,0,91.1810250000001
1707834600,100.9,102.06,100.635,101.42,,,,,,,0,0,0,0,0,0,91.26492500000009
1707849000,101.415,101.465,100.5875,101.36,,,,,,,0,0,0,0,0,0,91.34952500000009
1707921000,102.1,102.315,101.42,101.725,,,,,,,0,0,0,0,0,0,91.44172500000009
1707935400,101.74,102.52,101.6,102.42,,,,,,,0,0,0,0,0,0,91.53992500000011
1708007400,102.575,102.675,101.66,102.15,,,,,,,0,0,0,0,0,0,91.64061250000012
1708021800,102.1575,102.26,101.9,102.2,,,,,,,0,0,0,0,0,0,91.73893750000012
1708093800,102.45,102.71,101.255,101.805,,,,,,,0,0,0,0,0,0,91.83721250000012
1708108200,101.84,102.225,101.15,101.275,,,,,,,0,0,0,0,0,0,91.9321375000001
1708439400,100.7275,101.05,99.25,99.54,,,,,,,0,0,0,0,0,0,92.01728750000011
1708453800,99.53,100.275,99.455,100.275,,,,,,,0,0,0,0,0,0,92.11288750000011
1708525800,99.255,99.405,98.81,98.98,,,,,,,0,0,0,0,0,0,92.2027875000001
1708540200,98.97,99.6,98.54,99.585,,,,,,,0,0,0,0,0,0,92.2984375000001
1708612200,102.195,102.755,101.97,102.685,,,,,,,0,0,0,0,0,0,92.4061875000001
1708626600,102.69,103.155,102.65,102.885,,,,,,,0,0,0,0,0,0,92.5118875000001
1708698600,103.7,103.83,102.325,102.9675,,,,,,,0,0,0,0,0,0,92.6182750000001
1708713000,102.95,103,102.535,102.64,,,,,,,0,0,0,0,0,0,92.72160000000011
1708957800,103.06,103.35,102.645,102.975,,,,,,,0,0,0,0,0,0,92.82667500000011
1708972200,102.98,103.23,102.73,102.765,,,,,,,0,0,0,0,0,0,92.9282000000001
1709044200,102.985,103,102.07,102.25,,,,,,,0,0,0,0,0,0,93.02512500000012
1709058600,102.255,102.96,102.23,102.855,,,,,,,0,0,0,0,0,0,93.1323500000001
1709130600,102.425,102.63,101.99,102.335,,,,,,,0,0,0,0,0,0,93.2366500000001
1709145000,102.345,102.44,102.095,102.375,,,,,,,0,0,0,0,0,0,93.33852500000008
1709217000,102.915,103.255,102.345,103.185,,,,,,,0,0,0,0,0,0,93.44235000000009
1709231400,103.19,103.73,103.055,103.475,,,,,,,0,0,0,0,0,0,93.5488250000001
1709303400,103.74,105.13,103.705,105.125,,,,,,,0,0,0,0,0,0,93.66157500000008
1709317800,105.125,105.53,105.08,105.365,,,,,,,0,0,0,0,0,0,93.7681250000001
1709562600,105.27,105.755,104.995,105.4875,,,,,,,0,0,0,0,0,0,93.87490000000008
1709577000,105.49,105.98,105.3075,105.37,,,,,,,0,0,0,0,0,0,93.98080000000009
1709649000,104.325,104.38,102.545,102.64,,,,,,,0,0,0,0,0,0,94.0712000000001
1709663400,102.64,102.795,102.125,102.77,,,,,,,0,0,0,0,0,0,94.16155000000009
1709735400,103.8725,104.385,102.91,104.28,,,,,,,0,0,0,0,0,0,94.25952500000008
1709749800,104.275,104.28,103.125,103.565,,,,,,,0,0,0,0,0,0,94.35342500000007
1709821800,104.5,105.355,103.97,105.28,,,,,,,0,0,0,0,0,0,94.45255000000009
1709836200,105.2875,105.55,105.09,105.24,,,,,,,0,0,0,0,0,0,94.55122500000009
1709908200,105.41,106.155,103.72,103.9,,,,,,,0,0,0,0,0,0,94.64312500000011
1709922600,103.855,104.675,103.615,103.64,,,,,,,0,0,0,0,0,0,94.74082500000011
1710163800,103.17,103.57,102.64,103.425,,,,,,,0,0,0,0,0,0,94.8364250000001
1710178200,103.425,103.61,103.115,103.385,,,,,,,0,0,0,0,0,0,94.9286500000001
1710250200,104.35,105.14,103.4,104.79,,,,,,,0,0,0,0,0,0,95.02705000000009
1710264600,104.8,105.515,104.775,105.475,,,,,,,0,0,0,0,0,0,95.13011250000011
1710336600,105.22,105.24,103.9375,104.51,,,,,,,0,0,0,0,0,0,95.22893750000009
1710351000,104.52,104.73,104.08,104.3,,,,,,,0,0,0,0,0,0,95.32798750000009
1710423000,104.795,105.175,103.995,104.215,,,,,,,0,0,0,0,0,0,95.4299500000001
1710437400,104.215,104.82,103.75,104.42,,,,,,,0,0,0,0,0,0,95.5299750000001
1710509400,102.855,103.36,102.4,102.62,,,,,,,0,0,0,0,0,0,95.62617500000009
1710523800,102.615,103.065,102.555,102.84,,,,,,,0,0,0,0,0,0,95.7276500000001
1710768600,103.62,104.21,103.175,103.505,,,,,,,0,0,0,0,0,0,95.8353500000001
1710783000,103.5,103.735,103.07,103.14,,,,,,,0,0,0,0,0,0,95.93807500000011
1710855000,102.745,103.625,102.13,103.5,,,,,,,0,0,0,0,0,0,96.04532500000012
1710869400,103.56,103.7,103.26,103.65,,,,,,,0,0,0,0,0,0,96.15290000000012
1710941400,103.79,103.915,103.4,103.535,,,,,,,0,0,0,0,0,0,96.25747500000013
