time,open,high,low,close,Plot,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1772548200,133.47,136.02,127.82,135.22,135.22,0,0,0,0
1772562600,135.16,136.44,132.5,132.715,132.715,0,0,0,0
1772634600,144.03,149.55,142.2,147.33,147.33,0,0,0,0
1772649000,147.32,148.59,146.13,146.25,146.25,0,0,0,0
1772721000,144.71,146.4,137.28,139.17,139.17,0,0,0,0
1772735400,138.92,141.75,138.79,139.75,139.75,0,0,0,0
1772807400,134.875,136.3,132.6,134.32,134.32,0,0,0,0
1772821800,134.33,135.01,131.78,133.52,133.52,0,0,0,0
1773063000,136.2,139.66,135.35,136.93,136.93,0,0,0,0
1773077400,136.85,140.17,135.48,138.95,138.95,0,0,0,0
1773149400,141.8,142.46,136.08,140.65,140.65,0,0,0,0
1773163800,140.61,141,138.22,138.44,138.44,0,0,0,0
1773235800,139.95,142.67,135.14,139.53,139.53,0,0,0,0
1773250200,139.53,139.69,136.93,138.32,138.32,0,0,0,0
1773322200,137.15,138.78,133.4,135.97,135.97,0,0,0,0
1773336600,135.95,137.6,134.59,137.39,137.39,0,0,0,0
1773408600,143.85,147.26,139.5,140.51,140.51,0,0,0,0
1773423000,140.52,140.71,138.44,139.73,139.73,0,0,0,0
1773667800,145.35,148.24,143.32,145.66,145.66,0,0,0,0
1773682200,145.69,148.22,145.39,147.62,147.62,0,0,0,0
1773754200,146.01,151.67,145.27,150.5,150.5,0,0,0,0
1773768600,150.51,152.27,149.63,150.35,150.35,0,0,0,0
1773840600,144.99,146.75,140.36,141.81,141.81,0,0,0,0
1773855000,141.88,143.45,140.4,140.58,140.58,0,0,0,0
1773927000,135.03,138.53,133.04,135.83,135.83,0,0,0,0
1773941400,135.88,139.78,135.41,138.17,138.17,0,0,0,0
1774013400,139.5,139.53,134.58,135.96,135.96,0,0,0,0
1774027800,135.945,136.79,134.15,135.68,135.68,0,0,0,0
1774272600,138.625,139.93,133.97,134.71,134.71,0,0,0,0
1774287000,134.7,138.72,134.68,138.22,138.22,0,0,0,0
1774359000,138.72,140.05,134.32,134.56,134.56,0,0,0,0
1774373400,134.54,138.18,134.28,136.29,136.29,0,0,0,0
1774445400,140.54,143.85,138.33,139.66,139.66,0,0,0,0
1774459800,139.6,140.3,136.8,139.14,139.14,0,0,0,0
1774531800,136.49,139.04,133.621,134.19,134.19,0,0,0,0
1774546200,134.22,135.61,132.7,132.89,132.89,0,0,0,0
1774618200,129.88,130.59,123.98,125.67,125.67,0,0,0,0
1774632600,125.72,127.35,125.05,126.07,126.07,0,0,0,0
