time,open,high,low,close,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1742837400,328.53,336.77,327.97,335.59,0,0,0,0
1742909400,333.48,343.37,329.5,338.6,0,0,0,0
1742923800,338.7,343.53,336.26,341.8,0,0,0,0
1742995800,336.5,340.22,324.25,326.4,0,0,0,0
1743010200,326.54,330.66,319.78,329.33,0,0,0,0
1743082200,322.53,333.41,318,320.58,0,0,0,0
1743096600,320.33,328.5,319.79,324.48,0,0,0,0
1743168600,318.43,320.8,291.5,292.57,0,0,0,0
1743183000,292.64,297.58,289.25,289.49,0,0,0,0
1743427800,282.56,294.91,272.82,289.38,0,0,0,0
1743442200,289.33,294.7,284.35,288.27,0,0,0,0
1743514200,292.79,307.59,280.77,300.67,0,0,0,0
1743528600,300.44,307.5,292.4,306.03,0,0,0,0
1743600600,298.22,319.33,296.98,309.13,0,0,0,0
1743615000,309,313.49,304.01,313.22,0,0,0,0
1743687000,286.77,299.22,281.5,281.84,0,0,0,0
1743701400,281.7,285.02,276.06,282.29,0,0,0,0
1743773400,285.09,287.85,265.35,280.63,0,0,0,0
1743787800,280.6,299.09,279.28,293.21,0,0,0,0
1744032600,260.14,297.64,252.6,270.045,0,0,0,0
1744047000,270.12,278,265.77,268.08,0,0,0,0
1744119000,278.08,282.8,251.83,252.7,0,0,0,0
1744133400,252.77,258.87,235.93,237.97,0,0,0,0
1744205400,242.6,280,241.71,270.27,0,0,0,0
1744219800,270.8,302.34,268.17,295.89,0,0,0,0
1744291800,283.12,288,261.46,272.33,0,0,0,0
1744306200,272.38,278.89,267.36,272.57,0,0,0,0
1744378200,280.565,298.18,276.76,296.73,0,0,0,0
1744392600,296.6,304.15,294.9,299.66,0,0,0,0
1744637400,309.97,314.55,300.1,306.13,0,0,0,0
1744651800,306.5,314.21,305.82,311.36,0,0,0,0
1744723800,312.255,319.75,308.2,311.14,0,0,0,0
1744738200,311.42,312.65,306.85,310.56,0,0,0,0
1744810200,305.9,318.55,305.5,317.41,0,0,0,0
1744824600,317.49,317.49,304,311.79,0,0,0,0
1744896600,313.33,320,306,312.2,0,0,0,0
1744911000,312.35,319.19,312.35,317.21,0,0,0,0
1745242200,325,330.84,309,314.91,0,0,0,0
1745256600,314.87,319.41,312.22,317.815,0,0,0,0
1745328600,328.83,348.88,327.01,342,0,0,0,0
1745343000,342.14,348.6,340.3,343.02,0,0,0,0
1745415000,354.76,355.72,339.01,349.045,0,0,0,0
1745429400,349.19,352.47,343.32,345.64,0,0,0,0
1745501400,344.89,350.45,343.25,346.49,0,0,0,0
1745515800,346.46,351.03,343.5,350.12,0,0,0,0
1745587800,353.5,369.95,353.2,368.9,0,0,0,0
1745602200,368.91,373.2,363.8,368.73,0,0,0,0
1745847000,373.39,373.56,354.55,357.72,0,0,0,0
1745861400,357.6,370.87,357.53,369.24,0,0,0,0
1745933400,369.2,382.66,366.8,380.83,0,0,0,0
1745947800,380.58,383.95,379.65,381.57,0,0,0,0
1746019800,373.56,383.9,362.45,380.7,0,0,0,0
1746034200,380.8,384,376.82,379.92,0,0,0,0
1746106200,392.29,403.88,385.88,393.08,0,0,0,0
1746120600,393.175,394.8,381.02,381.91,0,0,0,0
1746192600,393.875,397.72,387.5,396.4,0,0,0,0
1746207000,396.48,401.7,391.5,394.205,0,0,0,0
1746451800,383.3,387.56,374.2,383.04,0,0,0,0
1746466200,382.8,391.93,382.29,386.22,0,0,0,0
1746538200,378.43,387.8,377.77,382.71,0,0,0,0
1746552600,383.04,387.62,382.17,385.235,0,0,0,0
1746624600,393.8,396.34,389.39,392.2,0,0,0,0
1746639000,392,394.15,388.25,392.46,0,0,0,0
1746711000,408.01,423.15,404.41,421.79,0,0,0,0
1746725400,421.78,422.08,413.28,414.55,0,0,0,0
1746797400,420.1,430.17,406.22,410.84,0,0,0,0
1746811800,411.02,416.41,410.55,416.01,0,0,0,0
1747056600,420.54,422.04,401.41,410.44,0,0,0,0
1747071000,410.38,411.74,400.85,404.93,0,0,0,0
1747143000,412.385,419.64,404.05,415.92,0,0,0,0
1747157400,415.85,422.55,414.67,421.69,0,0,0,0
1747229400,420.22,425.97,410.44,413.44,0,0,0,0
1747243800,413.35,418.59,413.18,416.67,0,0,0,0
1747315800,411.21,415.36,394.56,406.61,0,0,0,0
1747330200,406.27,407.77,394.14,397.06,0,0,0,0
1747402200,399.01,406.85,389.09,406,0,0,0,0
1747416600,406.09,406.66,397.57,399.83,0,0,0,0
1747661400,392.81,414.59,392.555,411.02,0,0,0,0
1747675800,410.93,414.11,408.58,413.4,0,0,0,0
1747747800,413.395,415.66,407.76,415.28,0,0,0,0
1747762200,415.46,417.85,406.1,417.45,0,0,0,0
1747834200,415.8,423.34,398.8,399.43,0,0,0,0
1747848600,399.22,404.99,395.58,402.67,0,0,0,0
1747920600,413.2,426.32,403.91,405.8,0,0,0,0
1747935000,405.92,407,398.92,399.51,0,0,0,0
1748007000,391.5,392.21,367.5,378.23,0,0,0,0
1748021400,378.27,382.12,368.82,369.23,0,0,0,0
1748352600,380.88,381.36,364.2,371.95,1,0,0,0
1748367000,371.9,375.73,369.26,372.23,1,0,0,0
1748439000,368.54,370.69,358.53,364.05,1,0,0,0
1748453400,364.01,366.93,363.12,364.23,1,0,0,0
1748525400,370.5,373.86,362.74,372.92,1,0,0,0
1748539800,372.95,373.6,364.71,370.64,1,0,0,0
1748611800,369.35,372.5,359.08,362.05,1,0,0,0
1748626200,362.16,369.9,361.73,369.04,1,0,0,0
1748871000,367.885,378.4,367.2,373.47,1,0,0,0
1748885400,373.48,374.26,370.79,372.47,1,0,0,0
1748957400,379.4,390.88,371.44,390.46,1,0,0,0
1748971800,390.46,390.53,385.04,387.42,1,0,0,0
1749043800,385.41,386.12,375.65,385.1,1,0,0,0
1749058200,385,385.75,377.91,378.21,1,0,0,0
1749130200,383.76,385.15,370.65,375.11,1,0,0,0
1749144600,375.06,376.29,364.39,368.9,1,0,0,0
1749216600,377.72,380.6,369.775,375.15,1,0,0,0
1749231000,375.27,376.82,371.95,374.49,1,0,0,0
1749475800,380.74,390.27,377.6,389.6,1,0,0,0
1749490200,389.54,394.79,388.71,392,1,0,0,0
1749562200,393.435,394,383.59,389.83,1,0,0,0
1749576600,389.86,392.78,387.93,391.03,1,0,0,0
