time,open,high,low,close,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim
1757957400,0.9919928825622776,0.9926130295478818,0.9911394095908099,0.9924343569203383,0.9674973196424935,0.9901425688242501,0.9901425688242501,0.9965914551204356,1.014360174282103,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758029400,0.9989314336598398,1.000533902829685,0.9953641793705983,0.9962613494748086,0.9685807626515667,0.9902743403320814,0.9902743403320814,0.9965914551204356,1.014360174282103,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758043800,0.9961723339861135,0.9961723339861135,0.9941697449819752,0.9951015318845743,0.9699369662132301,0.9905178137346583,0.9905178137346583,0.9965914551204356,1.014360174282103,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758115800,0.9963539350822588,0.9990666251833414,0.9963539350822588,0.9977708426214891,0.9719596723670856,0.9911646887640332,0.9911646887640332,0.9965914551204356,1.014360174282103,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758130200,0.9977708426214891,0.9992860967338926,0.9942165673102589,0.9992860967338926,0.9740554676757986,0.9919176480973259,0.9919176480973259,0.9965914551204356,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758202200,1.0026408844724946,1.00286584273688,0.9987446197991392,1.000626006081202,0.9758172010853399,0.9926001094773607,0.9926001094773607,0.9965914551204356,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758216600,1.0006707507937218,1.0006707507937218,0.9987479878375962,0.9987479878375962,0.977790188907851,0.9933093764029287,0.9933093764029287,0.9965914551204356,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758288600,1.0012529085376767,1.0024195716462048,1.00035765379113,1.0017467640077036,0.9802927628623374,0.9943541860700373,0.9943541860700373,0.998463686466081,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758303000,1.0017467640077036,1.0020600089565606,0.9999552712796888,1.0002684563758388,0.9830046029182041,0.995397456885493,0.995397456885493,0.998463686466081,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758547800,1.0006267908309454,1.0021088526943958,0.9952032994127404,1.000672133351257,0.9852978759169841,0.9962960405628295,0.9962960405628295,0.998463686466081,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758562200,1.0005376825880457,1.0006724949562877,0.9957839971295299,0.9957843752802942,0.987159419045427,0.9968137108009979,0.9968137108009979,0.998463686466081,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758634200,0.9968652037617554,0.9975333004440059,0.9924764890282132,0.9937726804354643,0.9880052766284572,0.9968885241514995,0.9968885241514995,0.9976505364617564,1.011220779279474,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
